Date,away,GA,home,GH,Nothing,Overtimes,Notes
Sat Jan 25 2020,Promitheas Patras,70,Kolossos Rodou,73,,,
Sun Jan 26 2020,Aris,65,Ionikos Nikaias,72,,,
Mon Jan 27 2020,P.A.O.K.,79,Panathinaikos OPAP,117,,,
Sat Feb 1 2020,Ionikos Nikaias,72,Larisa,82,,,
Sat Feb 1 2020,Peristeri,61,Lavrio B.C.,75,,,
Sat Feb 1 2020,Iraklis B.C.,76,Panionios,60,,,
Sat Feb 1 2020,Ifaistos Limnou,61,Promitheas Patras,81,,,
Sun Feb 2 2020,Kolossos Rodou,88,P.A.O.K.,77,,,
Sat Feb 15 2020,Panathinaikos OPAP,88,Aris,81,,,
Sat Feb 22 2020,Lavrio B.C.,77,Rethymno Aegean,75,,,
Wed Feb 26 2020,Rethymno Aegean,83,AEK Athens,84,,,
Sat Feb 29 2020,P.A.O.K.,69,Ifaistos Limnou,77,,,
Sat Feb 29 2020,Larisa,78,Panathinaikos OPAP,121,,,
Sat Feb 29 2020,AEK Athens,101,Panionios,96,,,
Sat Feb 29 2020,Promitheas Patras,64,Peristeri,78,,,
Sat Feb 29 2020,Aris,86,Kolossos Rodou,90,,,
Sun Mar 1 2020,Ionikos Nikaias,75,Iraklis B.C.,107,,,
Sat Mar 7 2020,Iraklis B.C.,61,AEK Athens,86,,,
Sat Mar 7 2020,Ifaistos Limnou,77,Aris,88,,,
Sat Mar 7 2020,Kolossos Rodou,90,Larisa,95,,,
Sat Mar 7 2020,Panionios,71,Lavrio B.C.,104,,,
Sat Mar 7 2020,Peristeri,75,P.A.O.K.,68,,,
Sun Mar 8 2020,Panathinaikos OPAP,110,Ionikos Nikaias,65,,,
